nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|BAJISTA_FUERTE,10,2,8,20.0,-2.05,DEBIL,MUY_BAJA,39.5,22.29,56.71,False,10,,,,,,0,,NZDJPY-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_FUERTE,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_FUERTE+CALL+REVERSIÓN+TENDENCIA,10,2,8,20.0,-2.05,DEBIL,MUY_BAJA,39.5,22.29,56.71,False,10,,,,,,0,,NZDJPY-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_FUERTE,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|LTCUSD-OTC|CALL,9,7,2,77.78,1.89,FAVORABLE,MUY_BAJA,58.1,40.45,75.76,False,9,,,,,,0,,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|BAJISTA_DEBIL,9,6,3,66.67,1.3,FAVORABLE,MUY_BAJA,54.66,36.84,72.47,False,9,,,,,,0,,US2000-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|MANAUSD-OTC|CALL,9,6,3,66.67,1.3,FAVORABLE,MUY_BAJA,54.66,36.84,72.47,False,9,,,,,,0,,MANAUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|LTCUSD-OTC|CONTINUACIÓN,9,5,4,55.56,0.0,NEUTRO,MUY_BAJA,51.21,33.32,69.09,False,9,,,,,,0,,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDMXN-OTC|REVERSIÓN_ESTRUCTURAL,9,5,4,55.56,0.0,NEUTRO,MUY_BAJA,51.21,33.32,69.09,False,9,,,,,,0,,USDMXN-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|AIG-OTC|PUT|REVERSIÓN|TENDENCIA|ALCISTA_NORMAL,9,5,4,55.56,0.0,NEUTRO,MUY_BAJA,51.21,33.32,69.09,False,9,,,,,,0,,AIG-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|HK33-OTC|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_NORMAL,9,5,4,55.56,0.0,NEUTRO,MUY_BAJA,51.21,33.32,69.09,False,9,,,,,,0,,HK33-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|MANAUSD-OTC|REVERSIÓN,9,5,4,55.56,0.0,NEUTRO,MUY_BAJA,51.21,33.32,69.09,False,9,,,,,,0,,MANAUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|COFFEE-OTC|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_NORMAL,9,4,5,44.44,-0.98,DEBIL,MUY_BAJA,47.76,29.88,65.63,False,9,,,,,,0,,COFFEE-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|USDMXN-OTC|PUT|REVERSIÓN|TENDENCIA|ALCISTA_NORMAL,9,4,5,44.44,-0.98,DEBIL,MUY_BAJA,47.76,29.88,65.63,False,9,,,,,,0,,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|REVERSIÓN|REVERSION_BAJISTA|SWEEP_RUPTURA_CONFIRMABLE|TENDENCIA,9,4,5,44.44,-0.98,DEBIL,MUY_BAJA,47.76,29.88,65.63,False,9,,,,,,0,,US2000-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
